time,neem,wais,gisp2
92.5,0.0001140410029973489,0.0003150741409876181,0.0002040256453709961
93.0,0.0001070384852694415,0.00030007061046439815,0.00019402438824496688
93.5,0.00010103632721694946,0.00028606731530939295,0.00018402313111893766
94.0,9.503416916445742e-05,0.00027306425552260237,0.00017402187399290843
94.5,8.94321549821315e-05,0.00026006119573581174,0.00016502074257948213
95.0,8.413024870243019e-05,0.00024705813594902117,0.00015601961116605583
95.5,7.912845032535348e-05,0.0002360555468986599,0.00014801860546523245
96.0,7.442675985090139e-05,0.00022405272248008398,0.00014001759976440907
96.5,7.002517727907388e-05,0.00021405036879793736,0.00013301671977618864
97.0,6.582366664232946e-05,0.00020304777974757611,0.0001260158397879682
97.5,6.192226390820962e-05,0.00019404566143364416,0.00011901495979974773
98.0,5.822093310917286e-05,0.00018404330775149754,0.00011301420552413018
98.5,5.471967424521916e-05,0.00017604142480578028,0.00010701345124851265
99.0,5.141848731634854e-05,0.00016703930649184832,0.00010101269697289513
99.5,4.8317372322560984e-05,0.00015903742354613103,9.571203069609963e-05
100.0,4.541632926385649e-05,0.00015203577596862843,9.061138956182474e-05
100.5,4.271535814023507e-05,0.00014403389302291113,8.571077357007042e-05
101.0,4.011442298415518e-05,0.0001370322454454085,8.111019529209699e-05
101.5,3.771355976315836e-05,0.00013103083323612056,7.670964215664412e-05
102.0,3.541273250970308e-05,0.00012402918565861793,7.260912673497215e-05
102.5,3.321194122378933e-05,0.00011802777344932995,6.860862388456045e-05
103.0,3.121122187295864e-05,0.00011202636124004199,6.490815874792965e-05
103.5,2.9310538489669497e-05,0.00010702518439896868,6.140771875381942e-05
104.0,2.7509891073921884e-05,0.00010202400755789539,5.8007291330969476e-05
104.5,2.5809279625715804e-05,9.672276010635768e-05,5.4806889050640124e-05
105.0,2.4308740112592792e-05,9.192163033892731e-05,5.180651191283136e-05
105.5,2.2808200599469777e-05,8.742057118196133e-05,4.9006159917543175e-05
106.0,2.14076970538883e-05,8.301953556181683e-05,4.630582049351529e-05
106.5,2.010722947584836e-05,7.891857055213672e-05,4.370549364074769e-05
107.0,1.8806761897808413e-05,7.501765261609954e-05,4.130519193050068e-05
107.5,1.770636625485154e-05,7.121675821688383e-05,3.900490279151396e-05
108.0,1.6605970611894664e-05,6.761591089131106e-05,3.680462622378753e-05
108.5,1.550557496893779e-05,6.421511063938121e-05,3.4804374798581684e-05
109.0,1.4605251261063982e-05,6.0914333924272836e-05,3.290413594463613e-05
109.5,1.3704927553190174e-05,5.781360428280739e-05,3.1003897090690586e-05
110.0,1.2804603845316366e-05,5.4912921714984866e-05,2.9303683379265615e-05
110.5,1.2004316104984094e-05,5.2112262683983816e-05,2.7603469667840647e-05
111.0,1.120402836465182e-05,4.9411627189804234e-05,2.6103281098936266e-05
111.5,1.0503776591861082e-05,4.681101523244612e-05,2.4603092530031883e-05
112.0,9.873549996349418e-06,4.441045034873093e-05,2.320291653238779e-05
112.5,9.243323400837752e-06,4.2109909001837214e-05,2.1902753106003993e-05
113.0,8.653111192342702e-06,3.990939119176496e-05,2.0702602250880486e-05
113.5,8.102913370864264e-06,3.790892045533564e-05,1.950245139575698e-05
114.0,7.582726339648286e-06,3.5908449718906316e-05,1.8402313111893764e-05
114.5,7.092550098694769e-06,3.400800251929846e-05,1.7402187399290842e-05
115.0,6.632384648003712e-06,3.230760239333354e-05,1.640206168668792e-05
115.5,6.202229987575115e-06,3.060720226736861e-05,1.5401935974085e-05
116.0,5.792082520654825e-06,2.900682567822516e-05,1.4601835404002663e-05
116.5,5.421949440751149e-06,2.7606496162724634e-05,1.3701722262660031e-05
117.0,5.061819957601626e-06,2.620616664722411e-05,1.3001634263837985e-05
117.5,4.72169766796041e-06,2.4805837131723585e-05,1.220153369375565e-05
118.0,4.411586168581655e-06,2.360555468986599e-05,1.1501445694933604e-05
118.5,4.121481862711206e-06,2.2405272248008398e-05,1.090137026737185e-05
119.0,3.84138115359491e-06,2.1305013342972272e-05,1.0201282268549805e-05
119.5,3.5812876379869216e-06,2.0204754437936143e-05,9.641211869492168e-06
120.0,3.3412013158872396e-06,1.9304542606542953e-05,9.091142727560561e-06
120.5,3.111118590541711e-06,1.830430723832829e-05,8.57107735700704e-06
121.0,2.9010430587044895e-06,1.750411894375656e-05,8.08101575783161e-06
121.5,2.700971123621421e-06,1.6603907112363367e-05,7.610956672908237e-06
122.0,2.5209063820466596e-06,1.580371881779164e-05,7.170901359362951e-06
122.5,2.3408416404718985e-06,1.5103554060041375e-05,6.760849817195752e-06
123.0,2.1807840924054436e-06,1.4403389302291112e-05,6.370800789280613e-06
123.5,2.0307301410931426e-06,1.3803248081362317e-05,6.000754275617532e-06
124.0,1.8806761897808415e-06,1.3103083323612055e-05,5.6607115333325384e-06
124.5,1.750629431976847e-06,1.2502942102683258e-05,5.330670048173574e-06
125.0,1.6305862709270063e-06,1.2002824418575927e-05,5.020631077266669e-06
125.5,1.510543109877165e-06,1.140268319764713e-05,4.730594620611821e-06
126.0,1.4005035455814776e-06,1.0902565513539802e-05,4.460560678209032e-06
126.5,1.3004675780399435e-06,1.040244782943247e-05,4.200527992932272e-06
127.0,1.210435207252563e-06,9.96234426741802e-06,3.960497821907571e-06
